input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 480, 1, 1)","(-1, 120, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,480,0,"(0, 0)","(0, 0)",0,120,0,0,"(0, 0)","(0, 0)",480,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 120, 1, 1)","(-1, 480, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,120,0,"(0, 0)","(0, 0)",0,480,0,0,"(0, 0)","(0, 0)",120,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 480, 14, 14)","(-1, 112, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,94080,0,"(0, 0)","(0, 0)",0,21952,0,0,"(0, 0)","(0, 0)",94080,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 112, 14, 14)","(-1, 672, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,21952,0,"(0, 0)","(0, 0)",0,131712,0,0,"(0, 0)","(0, 0)",21952,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 672, 14, 14)","(-1, 672, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,1185408,110208,"(0, 0)","(1, 1)",0,1185408,110208,0,"(1, 1)","(0, 0)",1185408,110208,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.15380859375,0.15380859375,0.0
"(-1, 672, 1, 1)","(-1, 168, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,672,0,"(0, 0)","(0, 0)",0,168,0,0,"(0, 0)","(0, 0)",672,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 168, 1, 1)","(-1, 672, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,168,0,"(0, 0)","(0, 0)",0,672,0,0,"(0, 0)","(0, 0)",168,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 672, 14, 14)","(-1, 112, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,131712,0,"(0, 0)","(0, 0)",0,21952,0,0,"(0, 0)","(0, 0)",131712,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 112, 14, 14)","(-1, 672, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,21952,0,"(0, 0)","(0, 0)",0,131712,0,0,"(0, 0)","(0, 0)",21952,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 672, 14, 14)","(-1, 672, 7, 7)","(5, 5)","(2, 2)","(2, 2)",0,"(2, 2)",0,1075200,298368,"(1, 1)","(2, 2)",0,3292800,2515968,0,"(2, 2)","(1, 1)",3780000,852768,80640,0.2775,0,0.7640816326530612,0,0.2256,0.7100591715976332,0.4229736328125,0.5306396484375,0.3076171875
"(-1, 672, 1, 1)","(-1, 168, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,672,0,"(0, 0)","(0, 0)",0,168,0,0,"(0, 0)","(0, 0)",672,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 168, 1, 1)","(-1, 672, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,168,0,"(0, 0)","(0, 0)",0,672,0,0,"(0, 0)","(0, 0)",168,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 672, 7, 7)","(-1, 160, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,32928,0,"(0, 0)","(0, 0)",0,7840,0,0,"(0, 0)","(0, 0)",32928,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 160, 7, 7)","(-1, 960, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,7840,0,"(0, 0)","(0, 0)",0,47040,0,0,"(0, 0)","(0, 0)",7840,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 960, 7, 7)","(-1, 960, 7, 7)","(5, 5)","(1, 1)","(2, 2)",0,"(2, 2)",0,1176000,368640,"(0, 0)","(2, 2)",0,1176000,368640,0,"(2, 2)","(0, 0)",1176000,368640,0,0.313469387755102,0,0.313469387755102,0,0.313469387755102,0.0,0.263671875,0.263671875,0.0
"(-1, 960, 1, 1)","(-1, 240, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,960,0,"(0, 0)","(0, 0)",0,240,0,0,"(0, 0)","(0, 0)",960,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 240, 1, 1)","(-1, 960, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,240,0,"(0, 0)","(0, 0)",0,960,0,0,"(0, 0)","(0, 0)",240,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 960, 7, 7)","(-1, 160, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47040,0,"(0, 0)","(0, 0)",0,7840,0,0,"(0, 0)","(0, 0)",47040,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 160, 7, 7)","(-1, 960, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,7840,0,"(0, 0)","(0, 0)",0,47040,0,0,"(0, 0)","(0, 0)",7840,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 960, 7, 7)","(-1, 960, 7, 7)","(5, 5)","(1, 1)","(2, 2)",0,"(2, 2)",0,1176000,368640,"(0, 0)","(2, 2)",0,1176000,368640,0,"(2, 2)","(0, 0)",1176000,368640,0,0.313469387755102,0,0.313469387755102,0,0.313469387755102,0.0,0.263671875,0.263671875,0.0
"(-1, 960, 1, 1)","(-1, 240, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,960,0,"(0, 0)","(0, 0)",0,240,0,0,"(0, 0)","(0, 0)",960,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 240, 1, 1)","(-1, 960, 1, 1)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,240,0,"(0, 0)","(0, 0)",0,960,0,0,"(0, 0)","(0, 0)",240,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 960, 7, 7)","(-1, 160, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47040,0,"(0, 0)","(0, 0)",0,7840,0,0,"(0, 0)","(0, 0)",47040,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 160, 7, 7)","(-1, 960, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,7840,0,"(0, 0)","(0, 0)",0,47040,0,0,"(0, 0)","(0, 0)",7840,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
