input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 96, 14, 14)","(-1, 576, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,18816,0,"(0, 0)","(0, 0)",0,112896,0,0,"(0, 0)","(0, 0)",18816,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 576, 14, 14)","(-1, 576, 7, 7)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,331776,77760,"(1, 1)","(1, 1)",0,1016064,762048,0,"(1, 1)","(1, 1)",1166400,198144,69120,0.234375,0,0.75,0,0.16987654320987655,0.7100591715976332,0.204345703125,0.322998046875,0.263671875
"(-1, 576, 7, 7)","(-1, 160, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,28224,0,"(0, 0)","(0, 0)",0,7840,0,0,"(0, 0)","(0, 0)",28224,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 160, 7, 7)","(-1, 960, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,7840,0,"(0, 0)","(0, 0)",0,47040,0,0,"(0, 0)","(0, 0)",7840,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 960, 7, 7)","(-1, 960, 7, 7)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,423360,76800,"(0, 0)","(1, 1)",0,423360,76800,0,"(1, 1)","(0, 0)",423360,76800,0,0.18140589569160998,0,0.18140589569160998,0,0.18140589569160998,0.0,0.1171875,0.1171875,0.0
"(-1, 960, 7, 7)","(-1, 160, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47040,0,"(0, 0)","(0, 0)",0,7840,0,0,"(0, 0)","(0, 0)",47040,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 160, 7, 7)","(-1, 960, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,7840,0,"(0, 0)","(0, 0)",0,47040,0,0,"(0, 0)","(0, 0)",7840,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 960, 7, 7)","(-1, 960, 7, 7)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,423360,76800,"(0, 0)","(1, 1)",0,423360,76800,0,"(1, 1)","(0, 0)",423360,76800,0,0.18140589569160998,0,0.18140589569160998,0,0.18140589569160998,0.0,0.1171875,0.1171875,0.0
"(-1, 960, 7, 7)","(-1, 160, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47040,0,"(0, 0)","(0, 0)",0,7840,0,0,"(0, 0)","(0, 0)",47040,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 160, 7, 7)","(-1, 960, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,7840,0,"(0, 0)","(0, 0)",0,47040,0,0,"(0, 0)","(0, 0)",7840,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 960, 7, 7)","(-1, 960, 7, 7)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,423360,76800,"(0, 0)","(1, 1)",0,423360,76800,0,"(1, 1)","(0, 0)",423360,76800,0,0.18140589569160998,0,0.18140589569160998,0,0.18140589569160998,0.0,0.1171875,0.1171875,0.0
"(-1, 960, 7, 7)","(-1, 320, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47040,0,"(0, 0)","(0, 0)",0,15680,0,0,"(0, 0)","(0, 0)",47040,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 320, 7, 7)","(-1, 1280, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,15680,0,"(0, 0)","(0, 0)",0,62720,0,0,"(0, 0)","(0, 0)",15680,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
