input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47824,0,"(0, 0)","(0, 0)",0,47824,0,0,"(0, 0)","(0, 0)",47824,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,430416,40016,"(0, 0)","(1, 1)",0,430416,40016,0,"(1, 1)","(0, 0)",430416,40016,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.05584716796875,0.05584716796875,0.0
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47824,0,"(0, 0)","(0, 0)",0,47824,0,0,"(0, 0)","(0, 0)",47824,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 488, 14, 14)","(-1, 488, 7, 7)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,281088,65880,"(1, 1)","(1, 1)",0,860832,645624,0,"(1, 1)","(1, 1)",988200,167872,58560,0.234375,0,0.75,0,0.16987654320987655,0.7100591715976332,0.173126220703125,0.273651123046875,0.223388671875
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23912,0,"(0, 0)","(0, 0)",0,23912,0,0,"(0, 0)","(0, 0)",23912,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 488, 14, 14)","(-1, 488, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,95648,0,"(0, 0)","(0, 0)",0,95648,0,0,"(0, 0)","(0, 0)",95648,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 488, 14, 14)","(-1, 488, 7, 7)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,281088,65880,"(1, 1)","(1, 1)",0,860832,645624,0,"(1, 1)","(1, 1)",988200,167872,58560,0.234375,0,0.75,0,0.16987654320987655,0.7100591715976332,0.173126220703125,0.273651123046875,0.223388671875
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23912,0,"(0, 0)","(0, 0)",0,23912,0,0,"(0, 0)","(0, 0)",23912,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23912,0,"(0, 0)","(0, 0)",0,23912,0,0,"(0, 0)","(0, 0)",23912,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,215208,39040,"(0, 0)","(1, 1)",0,215208,39040,0,"(1, 1)","(0, 0)",215208,39040,0,0.18140589569160998,0,0.18140589569160998,0,0.18140589569160998,0.0,0.0595703125,0.0595703125,0.0
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23912,0,"(0, 0)","(0, 0)",0,23912,0,0,"(0, 0)","(0, 0)",23912,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23912,0,"(0, 0)","(0, 0)",0,23912,0,0,"(0, 0)","(0, 0)",23912,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,215208,39040,"(0, 0)","(1, 1)",0,215208,39040,0,"(1, 1)","(0, 0)",215208,39040,0,0.18140589569160998,0,0.18140589569160998,0,0.18140589569160998,0.0,0.0595703125,0.0595703125,0.0
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23912,0,"(0, 0)","(0, 0)",0,23912,0,0,"(0, 0)","(0, 0)",23912,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23912,0,"(0, 0)","(0, 0)",0,23912,0,0,"(0, 0)","(0, 0)",23912,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,215208,39040,"(0, 0)","(1, 1)",0,215208,39040,0,"(1, 1)","(0, 0)",215208,39040,0,0.18140589569160998,0,0.18140589569160998,0,0.18140589569160998,0.0,0.0595703125,0.0595703125,0.0
"(-1, 488, 7, 7)","(-1, 488, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,23912,0,"(0, 0)","(0, 0)",0,23912,0,0,"(0, 0)","(0, 0)",23912,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 976, 7, 7)","(-1, 2048, 7, 7)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47824,0,"(0, 0)","(0, 0)",0,100352,0,0,"(0, 0)","(0, 0)",47824,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
